matricula;periodo;tipo_trancamento;quantidade;data_ocorrencia;data_ocorrencia_iso;flag_valido;motivos_rejeicao;fonte
20230016;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230061;2023.2;TRANCADO;1;2023-12-20;2023-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230090;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230007;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
202300123;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230029;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230093;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230078;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230016;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230079;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230035;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230070;2023.2;TRANCADO;1;2023-12-20;2023-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230100;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230017;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230064;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
2023 0001;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230001;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
123456;2023.1;TRANCADO;1;2023-07-15;2023-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230018;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230059;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230001;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230076;2023.2;TRANCADO;1;2023-12-20;2023-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230030;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
202300123;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230076;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230068;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230071;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230057;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230084;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230019;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230059;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230026;2023.1;TRANCADO;1;2023-07-15;2023-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230007;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230001;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230010;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230008;2023.2;TRANCADO;1;2023-12-20;2023-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230005;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230073;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
202300123;2023.1;TRANCADO;1;2023-07-15;2023-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
1234567;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230088;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230032;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230002;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230073;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230068;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
202300123;2023.2;TRANCADO;1;2023-12-20;2023-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
1234567;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
