matricula;periodo;disciplina;nota;situacao;data_ocorrencia
20230072;2024.1;Cálculo II;;CURSANDO;2024-07-15
20230004;2024.2;Direito do Trabalho;;CURSANDO;2024-12-20
20230072;2025.1;Inteligência Artificial;0.2;REPROVADO;2025-07-15
20230008;2023.1;Filosofia do Direito;;TRANCADO;2023-07-15
20230005;2025.2;Redes de Computadores;8.7;APROVADO;2025-12-20
20230029;2024.2;Direito do Trabalho;;CURSANDO;2024-12-20
20230064;2024.2;Teste de Software;6.1;APROVADO;2024-12-20
20230071;2025.1;Física I;0.5;REPROVADO;2025-07-15
20230070;2023.1;Economia;;TRANCADO;2023-07-15
20230085;2024.2;Logística;;TRANCADO;2024-12-20
20230009;2026.1;Cálculo I;8.7;APROVADO;2026-07-15
20230067;2024.1;Direito do Trabalho;4.1;APROVADO;2024-07-15
20230032;2024.2;Cálculo II;;TRANCADO;2024-12-20
20230087;2025.1;Inteligência Artificial;;TRANCADO;2025-07-15
20230004;2025.2;Direito Constitucional;;TRANCADO;2025-12-20
20230003;2025.2;Economia;;CURSANDO;2025-12-20
20230087;2023.1;Estrutura de Dados;9.8;APROVADO;2023-07-15
20230016;2025.2;Cálculo I;;TRANCADO;2025-12-20
20230092;2026.1;Administração Geral;;TRANCADO;2026-07-15
20230080;2023.2;Inteligência Artificial;3.4;REPROVADO;2023-12-20
20230020;2025.2;Engenharia de Requisitos;9.3;APROVADO;2025-12-20
1234567A;2024.2;Marketing;6.4;APROVADO;2024-12-20
20230077;2023.1;Gestão de Pessoas;;TRANCADO;2023-07-15
20230004;2025.1;Filosofia do Direito;4.6;APROVADO;2025-07-15
20230060;2025.2;Cálculo I;;CURSANDO;2025-12-20
20230061;2023.2;Arquitetura de Computadores;;TRANCADO;2023-12-20
20230090;2025.2;Cálculo I;;TRANCADO;2025-12-20
20230001;2025.2;Algoritmos e Programação;5.4;APROVADO;2025-12-20
20230030;2023.1;Cálculo I;8.9;APROVADO;2023-07-15
20230007;2026.1;Economia;;TRANCADO;2026-07-15
20230003;2025.1;Marketing;;CURSANDO;2025-07-15
20230094;2024.2;Física I;5.2;APROVADO;2024-12-20
20230077;2023.2;Contabilidade Básica;;TRANCADO;2023-12-20
20230001;2024.2;Física I;;CURSANDO;2024-12-20
202300123;2024.2;Direito do Trabalho;;TRANCADO;2024-12-20
20230063;2025.2;Direito Penal;;CURSANDO;2025-12-20
20230010;2025.1;Sistemas Operacionais;4.3;APROVADO;2025-07-15
20230029;2023.1;Processo Civil;5.1;APROVADO;2023-07-15
20230071;2023.2;Banco de Dados;4.8;APROVADO;2023-12-20
20230061;2025.1;Cálculo II;7.3;APROVADO;2025-07-15
20230005;2024.2;Cálculo I;7.4;APROVADO;2024-12-20
1234567A;2024.1;Economia;5.8;APROVADO;2024-07-15
20230035;2025.2;Teste de Software;7.7;APROVADO;2025-12-20
20230005;2023.1;Teste de Software;7.4;APROVADO;2023-07-15
20230002;2024.1;Cálculo II;0.4;REPROVADO;2024-07-15
20230093;2024.2;Direito Penal;4.3;APROVADO;2024-12-20
20230028;2025.1;Contabilidade Básica;7.7;APROVADO;2025-07-15
20230006;2025.1;Arquitetura de Computadores;7.1;APROVADO;2025-07-15
1234567;2023.1;Banco de Dados;1.8;REPROVADO;2023-07-15
20230095;2023.1;Arquitetura de Computadores;;TRANCADO;2023-07-15
20230030;2024.1;Redes de Computadores;4.6;APROVADO;2024-07-15
20230029;2025.2;Direito Constitucional;;TRANCADO;2025-12-20
20230093;2025.1;Direito do Trabalho;;TRANCADO;2025-07-15
20230091;2023.2;Arquitetura de Computadores;6.6;APROVADO;2023-12-20
20230034;2023.2;Processo Civil;5.6;APROVADO;2023-12-20
20230088;2024.2;Economia;3.0;REPROVADO;2024-12-20
20230080;2024.2;Matemática Discreta;7.9;APROVADO;2024-12-20
123456;2025.2;Direito do Trabalho;;CURSANDO;2025-12-20
20230093;2024.1;Direito Civil;5.6;APROVADO;2024-07-15
20230089;2024.1;Direito do Trabalho;;TRANCADO;2024-07-15
20230092;2024.1;Logística;3.1;REPROVADO;2024-07-15
20230033;2025.2;Logística;;CURSANDO;2025-12-20
20230078;2024.1;Direito Constitucional;;TRANCADO;2024-07-15
20230016;2026.1;Algoritmos e Programação;;TRANCADO;2026-07-15
2023 0001;2024.1;Teste de Software;;CURSANDO;2024-07-15
123456789;2025.1;Sistemas Operacionais;1.7;REPROVADO;2025-07-15
20230079;2026.1;Cálculo I;;TRANCADO;2026-07-15
20230058;2026.1;Economia;8.3;APROVADO;2026-07-15
20230057;2025.2;Estrutura de Dados;;CURSANDO;2025-12-20
20230028;2026.1;Gestão de Pessoas;6.4;APROVADO;2026-07-15
20230096;2024.2;Logística;5.5;APROVADO;2024-12-20
20230034;2024.1;Filosofia do Direito;10.0;APROVADO;2024-07-15
20230060;2025.1;Teste de Software;8.9;APROVADO;2025-07-15
20230035;2024.1;Redes de Computadores;;TRANCADO;2024-07-15
202300123;2025.1;Processo Civil;1.5;REPROVADO;2025-07-15
20230077;2026.1;Administração Geral;5.6;APROVADO;2026-07-15
20230019;2023.2;Direito Civil;5.7;APROVADO;2023-12-20
20230070;2023.2;Logística;;TRANCADO;2023-12-20
123456789;2023.2;Matemática Discreta;4.4;APROVADO;2023-12-20
20230060;2023.1;Algoritmos e Programação;2.3;REPROVADO;2023-07-15
20230100;2024.2;Gestão de Pessoas;;TRANCADO;2024-12-20
20230017;2026.1;Sistemas Operacionais;;TRANCADO;2026-07-15
20230081;2025.1;Economia;;CURSANDO;2025-07-15
2023001;2026.1;Gestão de Pessoas;8.8;APROVADO;2026-07-15
20230094;2025.2;Algoritmos e Programação;9.4;APROVADO;2025-12-20
20230030;2024.2;Banco de Dados;5.5;APROVADO;2024-12-20
20230064;2026.1;Cálculo I;;TRANCADO;2026-07-15
20230067;2026.1;Direito Penal;;CURSANDO;2026-07-15
20230074;2025.2;Direito Constitucional;;CURSANDO;2025-12-20
20230081;2023.2;Administração Geral;3.4;REPROVADO;2023-12-20
2023 0001;2025.2;Banco de Dados;;TRANCADO;2025-12-20
20230090;2026.1;Teste de Software;8.7;APROVADO;2026-07-15
20230057;2023.2;Inteligência Artificial;;CURSANDO;2023-12-20
20230098;2023.2;Banco de Dados;;TRANCADO;2023-12-20
20230063;2024.2;Filosofia do Direito;6.1;APROVADO;2024-12-20
20230006;2024.2;Estrutura de Dados;;CURSANDO;2024-12-20
2023001;2024.1;Contabilidade Básica;6.9;APROVADO;2024-07-15
20230033;2024.2;Gestão de Pessoas;7.9;APROVADO;2024-12-20
20230078;2023.2;Direito Civil;4.2;APROVADO;2023-12-20
20230057;2024.2;Cálculo II;8.1;APROVADO;2024-12-20
20230065;2025.1;Inteligência Artificial;8.4;APROVADO;2025-07-15
20230065;2025.2;Arquitetura de Computadores;9.3;APROVADO;2025-12-20
20230010;2024.1;Estrutura de Dados;;CURSANDO;2024-07-15
20230029;2023.2;Direito Civil;0.9;REPROVADO;2023-12-20
20230093;2023.1;Direito Constitucional;5.2;APROVADO;2023-07-15
20230080;2025.2;Sistemas Operacionais;5.7;APROVADO;2025-12-20
20230001;2026.1;Redes de Computadores;;TRANCADO;2026-07-15
20230085;2026.1;Gestão de Pessoas;;CURSANDO;2026-07-15
20230075;2024.1;Banco de Dados;;CURSANDO;2024-07-15
20230074;2023.2;Direito Penal;7.7;APROVADO;2023-12-20
1234567;2023.2;Redes de Computadores;8.6;APROVADO;2023-12-20
20230035;2023.1;Engenharia de Requisitos;4.7;APROVADO;2023-07-15
123456;2023.1;Filosofia do Direito;;TRANCADO;2023-07-15
20230083;2023.1;Física I;4.4;APROVADO;2023-07-15
1234567890;2023.1;Engenharia de Requisitos;9.4;APROVADO;2023-07-15
20230065;2023.2;Cálculo II;9.1;APROVADO;2023-12-20
20230002;2025.2;Matemática Discreta;;CURSANDO;2025-12-20
20230080;2025.1;Arquitetura de Computadores;6.7;APROVADO;2025-07-15
20230027;2025.1;Sistemas Operacionais;;CURSANDO;2025-07-15
20230018;2026.1;Economia;;TRANCADO;2026-07-15
20230006;2025.2;Matemática Discreta;;CURSANDO;2025-12-20
20230100;2025.1;Economia;6.8;APROVADO;2025-07-15
123456789;2024.2;Arquitetura de Computadores;4.4;APROVADO;2024-12-20
20230095;2025.1;Inteligência Artificial;5.0;APROVADO;2025-07-15
20230079;2025.2;Física I;;CURSANDO;2025-12-20
20230070;2025.1;Gestão de Pessoas;9.5;APROVADO;2025-07-15
2023001;2025.2;Marketing;;CURSANDO;2025-12-20
20230067;2025.1;Processo Civil;8.2;APROVADO;2025-07-15
20230060;2024.1;Redes de Computadores;;CURSANDO;2024-07-15
20230059;2026.1;Direito Civil;;TRANCADO;2026-07-15
2023001;2023.1;Logística;9.4;APROVADO;2023-07-15
20230020;2023.1;Teste de Software;5.7;APROVADO;2023-07-15
20230034;2024.2;Direito Civil;3.8;REPROVADO;2024-12-20
1234567;2026.1;Cálculo I;8.3;APROVADO;2026-07-15
20230094;2026.1;Engenharia de Requisitos;;CURSANDO;2026-07-15
20230034;2025.1;Direito do Trabalho;6.0;APROVADO;2025-07-15
20230001;2024.1;Banco de Dados;;TRANCADO;2024-07-15
20230020;2024.2;Física I;1.8;REPROVADO;2024-12-20
20230088;2023.1;Administração Geral;;CURSANDO;2023-07-15
20230017;2023.2;Estrutura de Dados;7.2;APROVADO;2023-12-20
20230083;2023.2;Cálculo I;9.1;APROVADO;2023-12-20
20230031;2023.1;Engenharia de Requisitos;8.3;APROVADO;2023-07-15
20230078;2025.2;Processo Civil;7.0;APROVADO;2025-12-20
20230026;2024.1;Algoritmos e Programação;10.0;APROVADO;2024-07-15
20230034;2023.1;Direito Constitucional;4.3;APROVADO;2023-07-15
20230059;2023.1;Direito Constitucional;7.0;APROVADO;2023-07-15
20230063;2024.1;Direito do Trabalho;8.6;APROVADO;2024-07-15
20230026;2024.2;Engenharia de Requisitos;7.8;APROVADO;2024-12-20
20230076;2023.2;Arquitetura de Computadores;;TRANCADO;2023-12-20
20230030;2026.1;Teste de Software;;TRANCADO;2026-07-15
123456;2026.1;Direito Penal;;CURSANDO;2026-07-15
202300123;2024.1;Filosofia do Direito;;TRANCADO;2024-07-15
20230060;2023.2;Engenharia de Requisitos;6.0;APROVADO;2023-12-20
20230069;2023.1;Cálculo II;7.1;APROVADO;2023-07-15
20230067;2025.2;Direito Constitucional;;CURSANDO;2025-12-20
20230076;2024.1;Estrutura de Dados;;TRANCADO;2024-07-15
20230077;2025.2;Economia;6.8;APROVADO;2025-12-20
20230090;2023.2;Física I;4.9;APROVADO;2023-12-20
20230095;2025.2;Matemática Discreta;6.7;APROVADO;2025-12-20
20230031;2024.1;Algoritmos e Programação;1.5;REPROVADO;2024-07-15
20230068;2025.1;Algoritmos e Programação;;TRANCADO;2025-07-15
20230056;2025.1;Algoritmos e Programação;9.7;APROVADO;2025-07-15
20230087;2026.1;Matemática Discreta;9.2;APROVADO;2026-07-15
20230056;2023.1;Cálculo I;;CURSANDO;2023-07-15
20230031;2026.1;Física I;7.7;APROVADO;2026-07-15
20230088;2023.2;Logística;4.3;APROVADO;2023-12-20
20230066;2023.2;Marketing;5.5;APROVADO;2023-12-20
20230072;2026.1;Estrutura de Dados;5.1;APROVADO;2026-07-15
20230083;2024.2;Redes de Computadores;;CURSANDO;2024-12-20
20230071;2024.1;Cálculo I;;TRANCADO;2024-07-15
20230090;2024.2;Banco de Dados;9.7;APROVADO;2024-12-20
20230067;2023.2;Filosofia do Direito;8.5;APROVADO;2023-12-20
20230078;2024.2;Direito do Trabalho;8.7;APROVADO;2024-12-20
20230074;2025.1;Direito do Trabalho;;CURSANDO;2025-07-15
20230029;2024.1;Filosofia do Direito;2.0;REPROVADO;2024-07-15
123456;2024.1;Direito Constitucional;2.1;REPROVADO;2024-07-15
20230069;2024.1;Arquitetura de Computadores;;CURSANDO;2024-07-15
20230098;2025.2;Cálculo I;;TRANCADO;2025-12-20
20230073;2023.1;Economia;;CURSANDO;2023-07-15
20230099;2023.1;Estrutura de Dados;6.9;APROVADO;2023-07-15
20230077;2024.2;Marketing;;CURSANDO;2024-12-20
20230058;2023.1;Logística;6.5;APROVADO;2023-07-15
20230085;2025.1;Marketing;9.4;APROVADO;2025-07-15
123456789;2023.1;Cálculo II;5.5;APROVADO;2023-07-15
20230033;2023.1;Administração Geral;8.4;APROVADO;2023-07-15
2023001;2024.2;Economia;8.5;APROVADO;2024-12-20
20230062;2023.2;Administração Geral;2.6;REPROVADO;2023-12-20
20230057;2026.1;Matemática Discreta;;TRANCADO;2026-07-15
20230029;2026.1;Direito Penal;;CURSANDO;2026-07-15
20230030;2025.1;Algoritmos e Programação;8.5;APROVADO;2025-07-15
20230089;2026.1;Processo Civil;;CURSANDO;2026-07-15
20230056;2025.2;Engenharia de Requisitos;;CURSANDO;2025-12-20
20230084;2026.1;Estrutura de Dados;;TRANCADO;2026-07-15
20230092;2023.1;Contabilidade Básica;5.0;APROVADO;2023-07-15
20230031;2025.1;Cálculo I;;CURSANDO;2025-07-15
20230067;2023.1;Direito Penal;5.8;APROVADO;2023-07-15
20230086;2025.2;Banco de Dados;;CURSANDO;2025-12-20
20230028;2024.2;Administração Geral;6.7;APROVADO;2024-12-20
20230079;2023.2;Algoritmos e Programação;1.2;REPROVADO;2023-12-20
20230072;2024.2;Sistemas Operacionais;;CURSANDO;2024-12-20
20230032;2025.1;Arquitetura de Computadores;0.0;REPROVADO;2025-07-15
20230078;2023.1;Direito Penal;9.2;APROVADO;2023-07-15
20230007;2025.2;Logística;;CURSANDO;2025-12-20
20230094;2023.2;Redes de Computadores;5.9;APROVADO;2023-12-20
20230016;2024.1;Redes de Computadores;2.5;REPROVADO;2024-07-15
20230066;2025.1;Contabilidade Básica;5.3;APROVADO;2025-07-15
20230019;2024.2;Direito Penal;;TRANCADO;2024-12-20
20230059;2025.1;Filosofia do Direito;;TRANCADO;2025-07-15
1234567890;2025.1;Cálculo I;8.6;APROVADO;2025-07-15
1234567;2024.1;Teste de Software;3.4;REPROVADO;2024-07-15
20230003;2023.1;Contabilidade Básica;;CURSANDO;2023-07-15
20230006;2024.1;Cálculo II;0.9;REPROVADO;2024-07-15
20230005;2024.1;Engenharia de Requisitos;1.8;REPROVADO;2024-07-15
1234567A;2023.1;Gestão de Pessoas;;CURSANDO;2023-07-15
20230033;2026.1;Administração Geral;6.3;APROVADO;2026-07-15
20230084;2023.1;Matemática Discreta;;CURSANDO;2023-07-15
20230074;2026.1;Processo Civil;;CURSANDO;2026-07-15
20230056;2024.1;Redes de Computadores;0.7;REPROVADO;2024-07-15
20230026;2023.1;Teste de Software;;TRANCADO;2023-07-15
20230008;2026.1;Direito do Trabalho;5.7;APROVADO;2026-07-15
20230059;2023.2;Processo Civil;6.9;APROVADO;2023-12-20
20230079;2024.2;Banco de Dados;;CURSANDO;2024-12-20
20230080;2024.1;Cálculo II;;CURSANDO;2024-07-15
123456;2023.2;Direito Civil;8.8;APROVADO;2023-12-20
20230007;2024.1;Contabilidade Básica;;TRANCADO;2024-07-15
20230081;2026.1;Gestão de Pessoas;;CURSANDO;2026-07-15
202300123;2026.1;Direito Penal;5.2;APROVADO;2026-07-15
20230066;2024.2;Administração Geral;;CURSANDO;2024-12-20
20230061;2024.2;Sistemas Operacionais;8.6;APROVADO;2024-12-20
20230086;2025.1;Cálculo I;3.8;REPROVADO;2025-07-15
20230001;2025.1;Engenharia de Requisitos;;TRANCADO;2025-07-15
20230061;2026.1;Estrutura de Dados;7.4;APROVADO;2026-07-15
20230092;2025.2;Economia;;CURSANDO;2025-12-20
20230027;2023.1;Arquitetura de Computadores;5.0;APROVADO;2023-07-15
20230057;2023.1;Matemática Discreta;0.3;REPROVADO;2023-07-15
20230089;2023.1;Filosofia do Direito;4.2;APROVADO;2023-07-15
20230001X;2023.2;Sistemas Operacionais;6.1;APROVADO;2023-12-20
1234567A;2023.2;Administração Geral;2.6;REPROVADO;2023-12-20
20230026;2025.2;Cálculo I;6.9;APROVADO;2025-12-20
20230068;2023.1;Banco de Dados;9.9;APROVADO;2023-07-15
20230001X;2024.2;Arquitetura de Computadores;;CURSANDO;2024-12-20
20230010;2025.2;Inteligência Artificial;;TRANCADO;2025-12-20
20230008;2023.2;Direito Penal;;TRANCADO;2023-12-20
20230005;2026.1;Algoritmos e Programação;;TRANCADO;2026-07-15
20230063;2025.1;Direito Constitucional;;CURSANDO;2025-07-15
20230073;2026.1;Logística;;TRANCADO;2026-07-15
202300123;2023.1;Direito Penal;;TRANCADO;2023-07-15
20230092;2024.2;Marketing;6.9;APROVADO;2024-12-20
20230005;2023.2;Física I;4.7;APROVADO;2023-12-20
20230082;2024.1;Direito do Trabalho;5.7;APROVADO;2024-07-15
20230057;2025.1;Sistemas Operacionais;7.4;APROVADO;2025-07-15
20230062;2025.1;Contabilidade Básica;0.4;REPROVADO;2025-07-15
20230067;2024.2;Direito Civil;1.9;REPROVADO;2024-12-20
1234567;2025.2;Algoritmos e Programação;;TRANCADO;2025-12-20
20230088;2025.2;Marketing;;TRANCADO;2025-12-20
20230033;2024.1;Contabilidade Básica;;CURSANDO;2024-07-15
20230010;2026.1;Arquitetura de Computadores;5.9;APROVADO;2026-07-15
20230032;2026.1;Estrutura de Dados;;TRANCADO;2026-07-15
20230031;2025.2;Teste de Software;4.6;APROVADO;2025-12-20
20230096;2025.2;Administração Geral;4.7;APROVADO;2025-12-20
20230002;2024.2;Estrutura de Dados;;TRANCADO;2024-12-20
20230073;2025.2;Administração Geral;;TRANCADO;2025-12-20
20230094;2025.1;Cálculo I;9.8;APROVADO;2025-07-15
20230016;2023.2;Banco de Dados;4.9;APROVADO;2023-12-20
20230069;2024.2;Inteligência Artificial;8.4;APROVADO;2024-12-20
20230003;2024.1;Logística;8.6;APROVADO;2024-07-15
20230035;2026.1;Banco de Dados;;CURSANDO;2026-07-15
20230007;2023.2;Economia;6.4;APROVADO;2023-12-20
20230082;2023.2;Direito Civil;6.4;APROVADO;2023-12-20
20230094;2023.1;Teste de Software;;CURSANDO;2023-07-15
20230085;2023.2;Economia;1.3;REPROVADO;2023-12-20
20230001X;2025.1;Cálculo II;9.8;APROVADO;2025-07-15
20230065;2026.1;Matemática Discreta;9.0;APROVADO;2026-07-15
20230090;2024.1;Algoritmos e Programação;2.3;REPROVADO;2024-07-15
20230089;2025.1;Direito Constitucional;;CURSANDO;2025-07-15
20230075;2025.1;Algoritmos e Programação;;CURSANDO;2025-07-15
20230058;2024.2;Gestão de Pessoas;5.0;APROVADO;2024-12-20
2023 0001;2023.1;Cálculo I;;CURSANDO;2023-07-15
20230001X;2023.1;Matemática Discreta;1.1;REPROVADO;2023-07-15
20230068;2025.2;Teste de Software;;TRANCADO;2025-12-20
20230095;2026.1;Cálculo II;8.7;APROVADO;2026-07-15
20230060;2026.1;Física I;;CURSANDO;2026-07-15
20230098;2026.1;Física I;5.5;APROVADO;2026-07-15
20230093;2026.1;Direito do Trabalho;8.9;APROVADO;2026-07-15
20230069;2026.1;Arquitetura de Computadores;;CURSANDO;2026-07-15
20230077;2025.1;Administração Geral;9.6;APROVADO;2025-07-15
20230063;2026.1;Direito Civil;5.3;APROVADO;2026-07-15
202300123;2023.2;Direito Constitucional;;TRANCADO;2023-12-20
1234567;2025.1;Engenharia de Requisitos;;TRANCADO;2025-07-15
